Gene	Type
1270	CAVIN1	Down
1271	CD93	Down
1272	VEPH1	Down
1273	PIP5K1B	Down
1274	CGNL1	Down
1275	C1QTNF7	Down
1276	HSPB2	Down
1277	GHR	Down
1278	TNXB	Down
1279	INKA2	Down
1280	SPRYD7	Down
1281	ST6GALNAC3	Down
1282	DES	Down
1283	HBEGF	Down
1284	GYPC	Down
1285	ABCG2	Down
1286	AFF3	Down
1287	DKK2	Down
1288	COX4I2	Down
1289	ABI3BP	Down
1290	CPB2	Down
1291	RAPGEF4	Down
1292	CAV2	Down
1293	HSPB3	Down
1294	CCL23	Down
1295	GPBAR1	Down
1296	SPN	Down
1297	CPED1	Down
1298	ANXA8L1	Down
1299	BDNF	Down
1300	KANK2	Down
1301	HSPB6	Down
1302	MFAP3L	Down
1303	SASH1	Down
1304	LAMP3	Down
1305	BCHE	Down
1306	TBX3	Down
1307	GPX3	Down
1308	SELP	Down
1309	SLC5A9	Down
1310	FAM124B	Down
1311	NIM1K	Down
1312	PNPLA6	Down
1313	TRPV2	Down
1314	TNS1	Down
1315	FXYD6	Down
1316	LMCD1	Down
1317	ST6GALNAC5	Down
1318	ZNF423	Down
1319	HEG1	Down
1320	FGR	Down
1321	CXCR1	Down
1322	MAMDC2	Down
1323	TMEM204	Down
1324	RXRG	Down
1325	ADH1B	Down
1326	SPTBN1	Down
1327	GPM6B	Down
1328	ANGPT1	Down
1329	FGF2	Down
1330	LGI4	Down
1331	VSIR	Down
1332	LIPN	Down
1333	SYNM	Down
1334	SLIT3	Down
1335	RETN	Down
1336	KCNAB1	Down
1337	PEAK1	Down
1338	WFS1	Down
1339	FFAR4	Down
1340	LTBP4	Down
1341	TSPAN18	Down
1342	ZNF366	Down
1343	PRAM1	Down
1344	DAPK2	Down
1345	GUCY1A2	Down
1346	NOTCH4	Down
1347	PDZD2	Down
1348	JCAD	Down
1349	P2RY1	Down
1350	DUOX1	Down
1351	LHFPL6	Down
1352	ESAM	Down
1353	CD300C	Down
1354	ADARB1	Down
1355	HPSE2	Down
1356	GFOD1	Down
1357	ADCY4	Down
1358	ATP1A2	Down
1359	TACC1	Down
1360	SFTPC	Down
1361	FLI1	Down
1362	PPP1R15A	Down
1363	F8	Down
1364	RILPL2	Down
1365	MS4A7	Down
1366	CRYAB	Down
1367	CD52	Down
1368	LILRA5	Down
1369	ADTRP	Down
1370	ZNF365	Down
1371	SCN7A	Down
1372	SYNE3	Down
1373	C8B	Down
1374	FGFR4	Down
1375	C1QTNF2	Down
1376	BMPER	Down
1377	PTH1R	Down
1378	RCAN1	Down
1379	NDST1	Down
1380	SEMA6D	Down
1381	CCL14	Down
1382	SLC27A6	Down
1383	METTL7A	Down
1384	FAM189A1	Down
1385	CNTFR	Down
1386	BCL6B	Down
1387	KLF6	Down
1388	CBX7	Down
1389	RAB40A	Down
1390	INPP5K	Down
1391	IL1RL1	Down
1392	ITIH5	Down
1393	ECRG4	Down
1394	ITGA8	Down
1395	OSCAR	Down
1396	KRT79	Down
1397	VWF	Down
1398	PLCXD2	Down
1399	KRT4	Down
1400	CASKIN2	Down
1401	MSR1	Down
1402	AFAP1L1	Down
1403	HPS5	Down
1404	KCNA5	Down
1405	SH3GL2	Down
1406	MFAP4	Down
1407	IL17D	Down
1408	OLR1	Down
1409	S100A3	Down
1410	AVPR2	Down
1411	MSRB3	Down
1412	SFRP5	Down
1413	SNRK	Down
1414	EDN3	Down
1415	SEC14L3	Down
1416	ITM2A	Down
1417	MARCO	Down
1418	GIMAP7	Down
1419	TBX4	Down
1420	RNF144B	Down
1421	PDE5A	Down
1422	MFNG	Down
1423	SLCO1A2	Down
1424	DOCK4	Down
1425	PREX2	Down
1426	LEPR	Down
1427	PCDHGB7	Down
1428	LGALSL	Down
1429	C1orf162	Down
1430	LDLR	Down
1431	PCOLCE2	Down
1432	CCBE1	Down
1433	DENND2A	Down
1434	WIF1	Down
1435	TGFBR2	Down
1436	CNRIP1	Down
1437	CASS4	Down
1438	WNT7A	Down
1439	EML1	Down
1440	AGTPBP1	Down
1441	ARMH2	Down
1442	GPER1	Down
1443	MEFV	Down
1444	AMOTL1	Down
1445	RECK	Down
1446	WASF3	Down
1447	NHSL1	Down
1448	ADAMTS1	Down
1449	CD34	Down
1450	CFD	Down
1451	FAM13C	Down
1452	CCN5	Down
1453	SSTR1	Down
1454	AGTR2	Down
1455	HMGCLL1	Down
1456	DLC1	Down
1457	MYL9	Down
1458	QKI	Down
1459	KIF1C	Down
1460	MMRN1	Down
1461	ZBED2	Down
1462	PPP1R14A	Down
1463	KCNK3	Down
1464	ABHD6	Down
1465	SPARCL1	Down
1466	CRTAC1	Down
1467	MYADM	Down
1468	SLC1A1	Down
1469	SYNPO	Down
1470	SERINC1	Down
1471	ANKRD29	Down
1472	TBX2	Down
1473	AGTR1	Down
1474	CDH13	Down
1475	TRIM58	Down
1476	RNF182	Down
1477	PLPP3	Down
1478	GKN2	Down
1479	C5AR1	Down
1480	SYNDIG1L	Down
1481	WFDC1	Down
1482	LILRA1	Down
1483	SOX5	Down
1484	GAS6	Down
1485	S1PR4	Down
1486	CNKSR2	Down
1487	SVEP1	Down
1488	TMEM273	Down
1489	PHACTR2	Down
1490	TMOD1	Down
1491	REM1	Down
1492	KLF4	Down
1493	IL33	Down
1494	LHFPL3	Down
1495	PPM1F	Down
1496	ENG	Down
1497	HSD17B6	Down
1498	VSIG4	Down
1499	RASGEF1B	Down
1500	PCDH12	Down
1501	TINCR	Down
1502	LRP2BP	Down
1503	RASGRF1	Down
1504	SYNPO2	Down
1505	SYN2	Down
1506	ROR1	Down
1507	HSPB8	Down
1508	FERMT2	Down
1509	MYL3	Down
1510	ITPRIP	Down
1511	GNAQ	Down
1512	RSPO4	Down
1513	PDE2A	Down
1514	TMEM47	Down
1515	GSTA3	Down
1516	PEBP4	Down
1517	MDGA1	Down
1518	ACE	Down
1519	ACOXL	Down
1520	AQP4	Down
1521	IQCN	Down
1522	HACD4	Down
1523	ADRA1D	Down
1524	PDE8B	Down
1525	FRY	Down
1526	CAB39L	Down
1527	PDK4	Down
1528	BMPR2	Down
1529	PGM5	Down
1530	SGCA	Down
1531	DOK2	Down
1532	TOM1L2	Down
1533	JDP2	Down
1534	ACSS3	Down
1535	SEC14L6	Down
1536	FBLN5	Down
1537	STARD9	Down
1538	ANXA3	Down
1539	PDE1B	Down
1540	GPR17	Down
1541	SCN2B	Down
1542	SLC31A2	Down
1543	FRMD4A	Down
1544	ADAMTSL4	Down
1545	CCDC69	Down
1546	KLF9	Down
1547	ACP5	Down
1548	CSF3	Down
1549	PID1	Down
1550	FABP5	Down
1551	ITLN1	Down
1552	ADGRL2	Down
1553	HYAL2	Down
1554	MTMR10	Down
1555	NDRG4	Down
1556	SLC5A4	Down
1557	PCDH9	Down
1558	FZD4	Down
1559	FIBIN	Down
1560	CFL2	Down
1561	CTNNAL1	Down
1562	DIPK2B	Down
1563	KIAA0040	Down
1564	STAC	Down
1565	GATA6	Down
1566	GMFG	Down
1567	CALCOCO1	Down
1568	JAML	Down
1569	ERBB4	Down
1570	MRC1	Down
1571	TMEM150B	Down
1572	CCDC152	Down
1573	TPPP3	Down
1574	NOS1	Down
1575	SRPX	Down
1576	RANBP3L	Down
1577	OLFML1	Down
1578	ICAM2	Down
1579	A2M	Down
1580	SCN1A	Down
1581	ARHGAP24	Down
1582	NXF3	Down
1583	GAB1	Down
1584	GPC3	Down
1585	SHC3	Down
1586	MT1M	Down
1587	CYBRD1	Down
1588	VAMP2	Down
1589	SLC11A1	Down
1590	DPYSL2	Down
1591	AHNAK	Down
1592	PLA2G1B	Down
1593	HLA-E	Down
1594	ANKRD33B	Down
1595	RBMS2	Down
1596	GIPC2	Down
1597	RBP4	Down
1598	SCARA5	Down
1599	GATA2	Down
1600	GIMAP4	Down
1601	MS4A15	Down
1602	OGN	Down
1603	CLEC12A	Down
1604	CHRDL1	Down
1605	AARD	Down
1606	CCRL2	Down
1607	CD300LF	Down
1608	NTNG1	Down
1609	PCDH17	Down
1610	GIMAP5	Down
1611	PRICKLE2	Down
1612	ITPRID2	Down
1613	KLF2	Down
1614	ALOX5	Down
1615	RASL12	Down
1616	LPL	Down
1617	KLF13	Down
1618	DIXDC1	Down
1619	TPRG1	Down
1620	ZNF106	Down
1621	LMOD1	Down
1622	SECISBP2L	Down
1623	RBMS3	Down
1624	SLC46A2	Down
1625	C20orf194	Down
1626	SNCA	Down
1627	SH2D1B	Down
1628	ALOX5AP	Down
1629	HYAL1	Down
1630	CACNA2D2	Down
1631	DUOXA1	Down
1632	NRN1	Down
1633	RTN1	Down
1634	MVB12B	Down
1635	ABCA9	Down
1636	NEGR1	Down
1637	SORBS1	Down
1638	ARHGEF6	Down
1639	KCNJ5	Down
1640	GNG11	Down
1641	PRKCQ	Down
1642	UBASH3B	Down
1643	TLR4	Down
1644	PTGER4	Down
1645	REEP1	Down
1646	BMX	Down
1647	IHH	Down
1648	NCF2	Down
1649	CYP4B1	Down
1650	TLR8	Down
1651	CTIF	Down
1652	KHDRBS2	Down
1653	LATS2	Down
1654	IL7R	Down
1655	LIMCH1	Down
1656	JUND	Down
1657	ARHGAP44	Down
1658	ID4	Down
1659	IL5RA	Down
1660	ZEB2	Down
1661	NTN4	Down
1662	TNFSF12	Down
1663	UBL3	Down
1664	FGFR2	Down
1665	NEBL	Down
1666	C1orf198	Down
1667	GPR4	Down
1668	SHROOM4	Down
1669	MS4A2	Down
1670	SOCS2	Down
1671	PHOSPHO1	Down
1672	PPBP	Down
1673	CYP27A1	Down
1674	ZEB1	Down
1675	RADX	Down
1676	TIMP3	Down
1677	PRKCH	Down
1678	SLC7A7	Down
1679	TMEM139	Down
1680	MYOCD	Down
1681	CA3	Down
1682	MYOZ1	Down
1683	PLSCR4	Down
1684	P3H2	Down
1685	PROS1	Down
1686	F10	Down
1687	DCSTAMP	Down
1688	TOX2	Down
1689	ATP1B2	Down
1690	HOXA4	Down
1691	MAPK4	Down
1692	TM6SF1	Down
1693	RRAS	Down
1694	SCIMP	Down
1695	HOXA5	Down
1696	FAM241A	Down
1697	TNS2	Down
1698	ZFYVE9	Down
1699	SOBP	Down
1700	LRRC18	Down
1701	ARAP3	Down
1702	SIDT2	Down
1703	SLC27A3	Down
1704	SMTNL2	Down
1705	SLC25A25	Down
1706	NEXN	Down
1707	NRG1	Down
1708	ACKR1	Down
1709	LRRK2	Down
1710	TSPAN7	Down
1711	CD68	Down
1712	PILRA	Down
1713	PTPRM	Down
1714	FAM167B	Down
1715	LILRB3	Down
1716	P2RY14	Down
1717	FAM167A	Down
1718	PPP4R4	Down
1719	FCGR3B	Down
1720	PRKG1	Down
1721	CARD16	Down
1722	SLC16A11	Down
1723	TMEM74B	Down
1724	PDLIM1	Down
1725	SMAD9	Down
1726	NOSTRIN	Down
1727	PCYT1B	Down
1728	ARL13B	Down
1729	MYO7B	Down
1730	EFEMP1	Down
1731	EXOC3L1	Down
1732	ARHGAP18	Down
1733	PCYOX1	Down
1734	MOCS1	Down
1735	ACACB	Down
1736	CD33	Down
1737	PAPSS2	Down
1738	ZBTB16	Down
1739	ABCG1	Down
1740	HLX	Down
1741	GALNT18	Down
1742	NEDD9	Down
1743	SELPLG	Down
1744	LEFTY2	Down
1745	NPR3	Down
1746	PTPRO	Down
1747	PF4	Down
1748	LMO7	Down
1749	SERPING1	Down
1750	NPNT	Down
1751	EPB41L2	Down
1752	FILIP1	Down
1753	HK3	Down
1754	GJA4	Down
1755	FRMD4B	Down
1756	CFAP161	Down
1757	TLL1	Down
1758	STOM	Down
1759	PRICKLE1	Down
1760	NDRG2	Down
1761	S100A12	Down
1762	FOSB	Down
1763	GJA5	Down
1764	RNF122	Down
1765	AATK	Down
1766	COLEC12	Down
1767	ROBO2	Down
1768	INKA1	Down
1769	RIPOR1	Down
1770	SELENOP	Down
1771	TMEM220	Down
1772	PLLP	Down
1773	CD83	Down
1774	PTGIR	Down
1775	TBX5	Down
1776	LSAMP	Down
1777	CLIC3	Down
1778	SUSD2	Down
1779	ARRB1	Down
1780	CLEC4E	Down
1781	PCDHGC3	Down
1782	PRG4	Down
1783	CRIM1	Down
1784	UTRN	Down
1785	COL6A5	Down
1786	CA2	Down
1787	LIFR	Down
1788	N4BP2L1	Down
1789	GJC2	Down
1790	SHANK3	Down
1791	APOBR	Down
1792	APBB1	Down
1793	C1orf115	Down
1794	HPCAL1	Down
1795	EIF4E3	Down
1796	CACNB4	Down
1797	CCDC50	Down
1798	MMP19	Down
1799	MRAS	Down
1800	SPI1	Down
1801	PLEKHO2	Down
1802	KAT2B	Down
1803	CST5	Down
1804	HSD17B4	Down
1805	SOX18	Down
1806	MITF	Down
1807	BTK	Down
1808	CRY2	Down
1809	SH3BP5	Down
1810	CEACAM21	Down
1811	MYH10	Down
1812	SLC15A2	Down
1813	APOLD1	Down
1814	PLCE1	Down
1815	MAP3K3	Down
1816	FPR1	Down
1817	NTRK2	Down
1818	ABCA3	Down
1819	RFLNB	Down
1820	FBP1	Down
1821	EDN1	Down
1822	ZNF385B	Down
1823	FLRT3	Down
1824	MFSD2A	Down
1825	SEPTIN10	Down
1826	CYGB	Down
1827	BST1	Down
1828	RFX2	Down
1829	PDGFB	Down
1830	C11orf96	Down
1831	ST6GALNAC2	Down
1832	EGR2	Down
1833	GPRIN2	Down
1834	AKAP7	Down
1835	DOCK11	Down
1836	SORBS3	Down
1837	ADGRE5	Down
1838	MYRF	Down
1839	TUBB6	Down
1840	FLVCR2	Down
1841	TTC28	Down
1842	ZBTB4	Down
1843	MYH11	Down
1844	INSYN1	Down
1845	ADAMTS15	Down
1846	PHLDB2	Down
1847	NES	Down
1848	SCD5	Down
1849	PAQR5	Down
1850	SH3BGRL	Down
1851	KLB	Down
1852	SLC51B	Down
1853	SLC12A4	Down
1854	NR4A3	Down
1855	BMP2	Down
1856	MAOB	Down
1857	ADGRL4	Down
1858	SLC15A3	Down
1859	GADD45B	Down
1860	VIM	Down
1861	SFTPD	Down
1862	PKIG	Down
1863	MSMO1	Down
1864	CD302	Down
1865	LAMC3	Down
1866	FCN1	Down
1867	HSPB7	Down
1868	TTLL7	Down
1869	LIMD1	Down
1870	LRRC8C	Down
1871	TNFSF13	Down
1872	ZBTB47	Down
1873	C1orf87	Down
1874	PMP22	Down
1875	SLCO2A1	Down
1876	PLA2G5	Down
1877	FLT4	Down
1878	CTDSPL	Down
1879	ALDH2	Down
1880	KCTD12	Down
1881	KCNJ8	Down
1882	SMAD7	Down
1883	PPARG	Down
1884	CYS1	Down
1885	SAMHD1	Down
1886	IL20RA	Down
1887	KIF26A	Down
1888	ABLIM3	Down
1889	KAZN	Down
1890	NFIX	Down
1891	AGPAT4	Down
1892	STON1	Down
1893	CATSPERD	Down
1894	NATD1	Down
1895	ANKS1A	Down
1896	HRCT1	Down
1897	TPPP	Down
1898	SNX25	Down
1899	SFTPA1	Down
1900	TYROBP	Down
1901	IRX1	Down
1902	PACRG	Down
1903	KMO	Down
1904	PCSK9	Down
1905	APOL3	Down
1906	RAB11FIP1	Down
1907	WFDC12	Down
1908	MAFF	Down
1909	PTGFR	Down
1910	AK1	Down
1911	S1PR5	Down
1912	LILRA6	Down
1913	CCND2	Down
1914	C1QA	Down
1915	GALNT13	Down
1916	SCGB1A1	Down
1917	FRAS1	Down
1918	JPH2	Down
1919	MTURN	Down
1920	ZFP36	Down
1921	MS4A14	Down
1922	RETREG1	Down
1923	FGD3	Down
1924	CCDC173	Down
1925	APOA1	Down
1926	TNS3	Down
1927	ARHGEF37	Down
1928	OSBPL6	Down
1929	RILP	Down
1930	LPXN	Down
1931	SLCO2B1	Down
1932	MATN3	Down
1933	C11orf97	Down
1934	CPAMD8	Down
1935	TSPAN12	Down
1936	PDE1C	Down
1937	RGS22	Down
1938	ASGR1	Down
1939	ZMYND15	Down
1940	SFTPA2	Down
1941	MEIS1	Down
1942	GPC5	Down
1943	PPFIBP1	Down
1944	LY86	Down
1945	IL34	Down
1946	TCEAL7	Down
1947	NDNF	Down
1948	GIPC3	Down
1949	MNDA	Down
1950	PALD1	Down
1951	AADAC	Down
1952	DUSP1	Down
1953	ARAP2	Down
1954	PLA2G3	Down
1955	LST1	Down
1956	CCN2	Down
1957	DNAJB4	Down
1958	JAM3	Down
1959	AQP9	Down
1960	SEMA3B	Down
1961	DCN	Down
1962	GFRA1	Down
1963	PREX1	Down
1964	FAM181A	Down
1965	VGLL3	Down
1966	AQP1	Down
1967	RIMS4	Down
1968	ABCB1	Down
1969	SIRPA	Down
1970	MAP6	Down
1971	B3GALNT1	Down
1972	RASSF2	Down
1973	NKD1	Down
1974	PTGDS	Down
1975	CLDN11	Down
1976	GABARAPL1	Down
1977	F2RL3	Down
1978	RASSF8	Down
1979	C1QB	Down
1980	PIK3R1	Down
1981	TNNI2	Down
1982	INSIG1	Down
1983	TCF4	Down
1984	IL6	Down
1985	TPSAB1	Down
1986	GNGT2	Down
1987	DAB2IP	Down
1988	TCTEX1D1	Down
1989	WWTR1	Down
1990	NCKAP1L	Down
1991	DDO	Down
1992	CDC14A	Down
1993	PIK3IP1	Down
1994	ANKRD66	Down
1995	LRRC4B	Down
1996	RDX	Down
1997	KANK4	Down
1998	HECW2	Down
1999	ARRDC4	Down
2000	PARD6B	Down
2001	MCC	Down
2002	ATOH8	Down
2003	PIK3R5	Down
2004	CD244	Down
2005	MYLK	Down
2006	KLRF1	Down
2007	CADM1	Down
2008	MAP3K8	Down
2009	APBB2	Down
2010	ETS1	Down
2011	ZCCHC24	Down
2012	PDPN	Down
2013	FAT4	Down
2014	FAR2	Down
2015	LNX2	Down
2016	CCL24	Down
2017	SULT1A1	Down
2018	CNR1	Down
2019	EMP1	Down
2020	HCK	Down
2021	KLF10	Down
2022	COLGALT2	Down
2023	EMILIN2	Down
2024	PXDC1	Down
2025	SERTAD1	Down
2026	PKDCC	Down
2027	CNN1	Down
2028	TCTE1	Down
2029	RAB8B	Down
2030	ARHGAP29	Down
2031	SELE	Down
2032	ADCY9	Down
2033	MID1IP1	Down
2034	EVI2B	Down
2035	FAM216B	Down
2036	VSTM4	Down
2037	WNT9A	Down
2038	TMSB15A	Down
2039	RORA	Down
2040	THEMIS2	Down
2041	IL18R1	Down
2042	MAGI1	Down
2043	LRCH2	Down
2044	CHI3L2	Down
2045	C9orf24	Down
2046	TNFAIP8L3	Down
2047	PRELP	Down
2048	NFAM1	Down
2049	PODXL	Down
2050	EHD2	Down
2051	REPS2	Down
2052	PARD3B	Down
2053	C7	Down
2054	CES1	Down
2055	P2RX1	Down
2056	ARHGAP30	Down
2057	HAS1	Down
2058	CXCL16	Down
2059	COL13A1	Down
2060	ZNF331	Down
2061	TBC1D4	Down
2062	SIRPB2	Down
2063	TMEM164	Down
2064	FHDC1	Down
2065	ETV5	Down
2066	GRAMD2A	Down
2067	SCARF1	Down
2068	CCN1	Down
2069	SEC14L4	Down
2070	HPGDS	Down
2071	CELF2	Down
2072	DHCR24	Down
2073	CFAP58	Down
2074	LAMB2	Down
2075	GAB2	Down
2076	ECM2	Down
2077	ARMCX1	Down
2078	GPR65	Down
2079	NHLRC4	Down
2080	IL1A	Down
2081	CABCOCO1	Down
2082	CPA3	Down
2083	CD300E	Down
2084	CXCL2	Down
2085	PLAGL1	Down
2086	SIGLEC6	Down
2087	DAB2	Down
2088	HCAR2	Down
2089	ALPP	Down
2090	RASGRP2	Down
2091	FCER1G	Down
2092	ANXA8	Down
2093	ARHGAP25	Down
2094	C1orf158	Down
2095	ARHGEF10	Down
2096	VASH1	Down
2097	GUCA2A	Down
2098	LRRC71	Down
2099	HLF	Down
2100	TEKT1	Down
2101	KLF15	Down
2102	MAL	Down
2103	SDC2	Down
2104	CYP2F1	Down
2105	DIPK2A	Down
2106	C1orf21	Down
2107	ATF3	Down
2108	CXCL12	Down
2109	C6	Down
2110	NCF1	Down
2111	TMEM178A	Down
2112	ITGAL	Down
2113	FOXF2	Down
2114	KCNAB2	Down
2115	KCNJ15	Down
2116	TBC1D2	Down
2117	SMARCA2	Down
2118	PLEKHH2	Down
2119	GBP4	Down
2120	OTULINL	Down
2121	AMIGO1	Down
2122	TUBA1A	Down
2123	CFAP77	Down
2124	FAM184A	Down
2125	TPSB2	Down
2126	UACA	Down
2127	CDKN2B	Down
2128	ADGRD1	Down
2129	EPB41L5	Down
2130	TLCD2	Down
2131	STARD4	Down
2132	SYNE1	Down
2133	LAPTM5	Down
2134	ETV1	Down
2135	THSD4	Down
2136	SLA	Down
2137	VSIG2	Down
2138	TCTEX1D4	Down
2139	ID3	Down
2140	DCDC2	Down
2141	TMEM212	Down
2142	MOB3B	Down
2143	STOML3	Down
2144	ELMO1	Down
2145	AOX1	Down
2146	EFCAB1	Down
2147	CWH43	Down
2148	FBLN1	Down
2149	CX3CR1	Down
2150	TEF	Down
2151	CFAP52	Down
2152	SGK1	Down
2153	DDR2	Down
2154	DAPK1	Down
2155	PTGIS	Down
2156	NEDD4L	Down
2157	EPB41L3	Down
2158	CBFA2T3	Down
2159	TUBA4B	Down
2160	NR4A1	Down
2161	GSAP	Down
2162	TWIST2	Down
2163	FCGR3A	Down
2164	PDZRN3	Down
2165	C19orf38	Down
2166	EGR1	Down
2167	UST	Down
2168	MYO1F	Down
2169	MAP1LC3C	Down
2170	GPRC5A	Down
2171	FMO3	Down
2172	CSTA	Down
2173	TTC29	Down
2174	SNTN	Down
2175	THRB	Down
2176	SEMA3D	Down
2177	GNG7	Down
2178	MORN5	Down
2179	NRGN	Down
2180	COL4A3	Down
2181	EYA4	Down
2182	SLCO4C1	Down
2183	SGCE	Down
2184	EMP3	Down
2185	AKT3	Down
2186	DYNLRB2	Down
2187	DNAI2	Down
2188	GJA1	Down
2189	CNGA4	Down
2190	BTG2	Down
2191	CD44	Down
2192	DOCK8	Down
2193	DEPP1	Down
2194	APOC1	Down
2195	MATK	Down
2196	DNAH9	Down
2197	SCEL	Down
2198	SELENBP1	Down
2199	MRGPRF	Down
2200	FAM43A	Down
2201	APLN	Down
2202	AKAP13	Down
2203	S100A4	Down
2204	ARHGAP23	Down
2205	GCNT4	Down
2206	TTLL10	Down
2207	BCL2A1	Down
2208	CYB5A	Down
2209	CYBB	Down
2210	MS4A4A	Down
2211	SLC16A6	Down
2212	SAMD5	Down
2213	DRAM1	Down
2214	C6orf118	Down
2215	C1orf189	Down
2216	C20orf85	Down
2217	ALDH1A1	Down
2218	CTSG	Down
2219	EGR3	Down
2220	MAPK10	Down
2221	FBXL7	Down
2222	PRF1	Down
2223	DKK3	Down
2224	GAS7	Down
2225	HACD1	Down
2226	PPP1R16B	Down
2227	NRROS	Down
2228	ID2	Down
2229	SIGLEC14	Down
2230	CD37	Down
2231	CFTR	Down
2232	RSPH4A	Down
2233	SRGN	Down
2234	DPT	Down
2235	ERICH3	Down
2236	ETS2	Down
2237	CDKN1C	Down
2238	LCP1	Down
2239	LIPA	Down
2240	MMP28	Down
2241	MACROD2	Down
2242	TMTC1	Down
2243	OLFML2A	Down
2244	CCDC68	Down
2245	TMCC3	Down
2246	ABCC9	Down
2247	HCST	Down
2248	HSD17B13	Down
2249	RNF180	Down
2250	ACSL4	Down
2251	SIGLEC1	Down
2252	PLAC8	Down
2253	EFNB2	Down
2254	TFRC	Down
2255	ROPN1L	Down
2256	ZMYND10	Down
2257	CFAP65	Down
2258	CTSS	Down
2259	LBH	Down
2260	CASP1	Down
2261	LRRC25	Down
2262	ALOX15	Down
2263	ERICH2	Down
2264	APOL4	Down
2265	ATP13A4	Down
2266	LAIR1	Down
2267	EFNB1	Down
2268	NKD2	Down
2269	RCSD1	Down
2270	CAPSL	Down
2271	AXL	Down
2272	AKAP14	Down
2273	DUSP8	Down
2274	KLRG2	Down
2275	PPIL6	Down
2276	SIGLEC7	Down
2277	P2RX7	Down
2278	PXMP4	Down
2279	SGMS2	Down
2280	RERG	Down
2281	PTX3	Down
2282	C16orf54	Down
2283	CITED2	Down
2284	GGTLC1	Down
2285	EPHB6	Down
2286	CCDC170	Down
2287	C1orf194	Down
2288	ENHO	Down
2289	WDR38	Down
2290	SNX30	Down
2291	PLBD1	Down
2292	EFHB	Down
2293	COL4A4	Down
2294	PER1	Down
2295	DTHD1	Down
2296	EFR3B	Down
2297	FOS	Down
2298	SPRY4	Down
2299	PDCD1LG2	Down
2300	CAMK2N1	Down
2301	SOD3	Down
2302	TMEM190	Down
2303	CD53	Down
2304	ESYT3	Down
2305	NDN	Down
2306	CABLES1	Down
2307	C22orf15	Down
2308	BEX4	Down
2309	PTPRG	Down
2310	OMG	Down
2311	DOK7	Down
2312	ACTG2	Down
2313	LRRC4	Down
2314	SCNN1G	Down
2315	AKAP12	Down
2316	SLPI	Down
2317	ALPL	Down
2318	CSF2RB	Down
2319	TMEM255A	Down
2320	FERMT3	Down
2321	BEX5	Down
2322	MEOX2	Down
2323	SLC2A3	Down
2324	TNFAIP8L2	Down
2325	CSF3R	Down
2326	TSPAN4	Down
2327	DCDC2B	Down
2328	GPR162	Down
2329	HMGCS1	Down
2330	ALDH1A2	Down
2331	DRC3	Down
2332	SYP	Down
2333	MAGI3	Down
2334	PGAP4	Down
2335	ADA2	Down
2336	C5orf38	Down
2337	P2RY12	Down
2338	IRF8	Down
2339	CDK14	Down
2340	SPATA18	Down
2341	PRKD1	Down
2342	PRKCZ	Down
2343	LAMA4	Down
2344	SAXO2	Down
2345	COBL	Down
2346	LYZ	Down
2347	DYDC2	Down
2348	PLCXD3	Down
2349	DST	Down
2350	FCGR1A	Down
2351	LYPD2	Down
2352	CFAP73	Down
2353	SLC24A3	Down
2354	FKBP1B	Down
2355	ADGRF5	Down
2356	AK7	Down
2357	PLXDC2	Down
2358	CD69	Down
2359	RTN4RL1	Down
2360	OASL	Down
2361	FAM166B	Down
2362	LILRA2	Down
2363	FREM2	Down
2364	JUN	Down
2365	RARRES2	Down
2366	APOBEC4	Down
2367	NR3C2	Down
2368	PDE3B	Down
2369	BHLHE41	Down
2370	CXCL3	Down
2371	JUNB	Down
2372	COL4A5	Down
2373	FAXDC2	Down
2374	CD163	Down
2375	WNT2	Down
2376	NAP1L2	Down
2377	HLA-DOA	Down
2378	APLNR	Down
2379	DOCK2	Down
2380	C1QC	Down
2381	PLA1A	Down
2382	WNT11	Down
2383	VWA3A	Down
2384	KCNK17	Down
2385	VWA3B	Down
2386	CDHR3	Down
2387	PTAFR	Down
2388	CACHD1	Down
2389	XAGE2	Down
2390	PDZD4	Down
2391	PPP1R32	Down
2392	SLC9A3R2	Down
2393	ECT2L	Down
2394	HLA-DRA	Down
2395	IFT57	Down
2396	TXNIP	Down
2397	DAAM2	Down
2398	CTSH	Down
2399	VMO1	Down
2400	PKIA	Down
2401	ATP10A	Down
2402	TGFB2	Down
2403	SOCS3	Down
2404	MT1A	Down
2405	HLA-DPA1	Down
2406	CMKLR1	Down
2407	SCD	Down
2408	C2	Down
2409	CD4	Down
2410	PRSS12	Down
2411	FGF7	Down
2412	EGFL7	Down
2413	DNAI1	Down
2414	IL1B	Down
2415	PALM	Down
2416	RGN	Down
2417	LRRC46	Down
2418	ABLIM1	Down
2419	SASH3	Down
2420	SHE	Down
2421	LAMA3	Down
2422	SULT1A2	Down
2423	USP44	Down
2424	TYRP1	Down
2425	HSD11B1	Down
2426	FBN3	Down
2427	MGP	Down
2428	NKG7	Down
2429	LRP1	Down
2430	CLIC2	Down
2431	PTN	Down
2432	RGS16	Down
2433	IGFALS	Down
2434	HEY1	Down
2435	AXIN2	Down
2436	HLA-DPB1	Down
2437	UNC13D	Down
2438	HLA-DRB1	Down
2439	DRC1	Down
2440	HLA-DRB5	Down
2441	DMBT1	Down
2442	CACNG6	Down
2443	P2RY13	Down
2444	MS4A8	Down
2445	SNX10	Down
2446	CDHR4	Down
